Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.005959977948726921,	0.002189379654634379,	0.0,	0.1644467385036489,	0.1725960961070102,	0.09250129040830252,	0.002189379654634379,	0.0,	0.1644467385036489,	0.2591374085665858,	
Conv2,	GEMM,	0.005988956317059273,	0.005103016033470623,	0.0,	0.011623259664344465,	0.02271523201487436,	0.18370857720494244,	0.005103016033470623,	0.17350254513800117,	0.18370857720494244,	0.5460227155813566,	
c_4_ut_4,	All,	0.005987938043379779,	0.0050006334837646976,	0.0,	0.016993338625517697,	0.027981910152662173,	0.18050363555819882,	0.0050006334837646976,	0.16740582247187666,	0.18303173359721317,	0.5359418251110534,	
