Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	8346.0,	2.0865e-05,	47927.15073088904,	
Conv2,	GEMM,	177616.0,	0.00044404000000000004,	2252.049364922079,	
c_8_04b_bp_001c_testnet_ddr3_w__spm,	All,	185962.0,	0.00046490500000000005,	2150.9770813391983,	
