Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.007579745650353319,	0.0027843963613542804,	0.0,	0.20913910447505485,	0.21950324648676245,	0.4705629850688734,	0.0027843963613542804,	0.4182782089501097,	0.6274173134251645,	1.5190429038055018,	
Conv2,	GEMM,	0.005919692159940419,	0.005043998053440357,	0.0,	0.010227559855104162,	0.021191250068484938,	0.7263357196954114,	0.005043998053440357,	0.7162477235885307,	0.7263357196954114,	2.173963161032794,	
c_4_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.005965386666680163,	0.004981800428276796,	0.0,	0.0157027839781464,	0.026649971073103358,	0.7192953387596573,	0.004981800428276796,	0.7080458372797366,	0.7236128991308306,	2.1559358755985016,	
