Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.02310999579480824,	0.01969135736362359,	0.0,	0.05469607824993493,	0.09749743140836675,	0.3544444325452246,	0.01969135736362359,	0.3150617178179774,	0.3544444325452246,	1.0436419402720503,	
c_8_ut_4,	All,	0.02220670868267266,	0.01854521710116132,	0.0,	0.07215000862593905,	0.11290193440977303,	0.3347055047969212,	0.01854521710116132,	0.2921584971013722,	0.3501083378892746,	0.9955175568887293,	
