Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.017497169865768873,	0.0064275317874253005,	0.0,	0.4827790542555004,	0.5067037559086945,	0.5431264360374379,	0.0064275317874253005,	0.4827790542555004,	0.9655581085110008,	1.9978911305913645,	
Conv2,	GEMM,	0.02268530980776735,	0.01932949474744674,	0.0,	0.03919172513571937,	0.08120652969093345,	1.391723621816165,	0.01932949474744674,	1.3530646323212716,	1.391723621816165,	4.155841370701049,	
c_8_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.0224524653774218,	0.018750452884784802,	0.0,	0.0590999851503121,	0.1003029034125187,	1.3536384640285029,	0.018750452884784802,	1.3140060965207483,	1.372597255278674,	4.058992268712711,	
