Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.1167195036880857,	0.09945330491765882,	0.0,	0.5967198295059529,	0.8128926381116974,	0.8950797442589294,	0.09945330491765882,	0.39781321967063527,	0.5967198295059529,	1.9890660983531765,	
c_32_ut_4,	All,	0.08664436627687051,	0.07235825020980621,	0.0,	0.511084256182768,	0.6700868726694447,	0.6647218485620082,	0.07235825020980621,	0.2849801854416983,	0.511084256182768,	1.5331445403962807,	
