Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.07587086423289596,	0.06464736360672792,	0.0,	0.6464736360672793,	0.7869918639069031,	0.5818262724605513,	0.06464736360672792,	0.5171789088538233,	0.6464736360672793,	1.810126180988382,	
c_16_ut_4,	All,	0.06252797254236035,	0.052218221180986166,	0.0,	0.5744896949073965,	0.689235888630743,	0.4797046972722518,	0.052218221180986166,	0.41131891145638333,	0.5744896949073965,	1.5177315248170178,	
