Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.03458819983413241,	0.012705869326824151,	0.0,	0.9543519627703473,	1.0016460319313039,	0.5368229790583203,	0.012705869326824151,	0.0,	0.9543519627703473,	1.5038808111554918,	
Conv2,	GEMM,	0.07946659014705755,	0.06771117740340998,	0.0,	0.15420162666479695,	0.3013793942152645,	2.437602386522759,	0.06771117740340998,	2.3021800317159395,	2.437602386522759,	7.245095982164868,	
c_16_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.07601692033856666,	0.0634830812249272,	0.0,	0.2157068285552975,	0.35520683011879134,	2.291495066522853,	0.0634830812249272,	2.1252182268529474,	2.3235892909198994,	6.803785665520627,	
