Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	24502.0,	6.125500000000001e-05,	16325.197943025058,	
Conv2,	GEMM,	672784.0,	0.0016819600000000001,	594.5444600347214,	
c_4_ut_4,	All,	697286.0,	0.0017432150000000002,	573.6527049159167,	
