Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.0413921144273546,	0.015205266524334342,	0.0,	1.1420844633833351,	1.198681844335024,	0.32121125532656297,	0.015205266524334342,	0.0,	1.1420844633833351,	1.4785009852342323,	
Conv2,	GEMM,	0.14349266334816263,	0.12226593800080128,	0.0,	0.33952147193104454,	0.6052800732800084,	2.200786884014423,	0.12226593800080128,	1.9562550080128205,	2.200786884014423,	6.480094714042467,	
c_32_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.13209647451645512,	0.110316113621879,	0.0,	0.4291013958061294,	0.6715139839444635,	1.9909937045025663,	0.110316113621879,	1.7379030822892938,	2.082617365538516,	5.921830265952255,	
