Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.03458819983413241,	0.012705869326824151,	0.0,	0.9543519627703473,	1.0016460319313039,	0.5368229790583203,	0.012705869326824151,	0.0,	0.9543519627703473,	1.5038808111554918,	
Conv2,	GEMM,	0.07946659014705755,	0.06771117740340998,	0.0,	0.15420162666479695,	0.3013793942152645,	2.437602386522759,	0.06771117740340998,	2.3021800317159395,	2.437602386522759,	7.245095982164868,	
FC3,	GEMM,	0.0022885254281202008,	0.2929312547993857,	0.0,	3.178507539055834e-05,	0.2952515653028964,	0.018308203424961606,	0.2929312547993857,	0.018276418349571045,	0.018308203424961606,	0.34782407999887993,	
FC4,	GEMM,	0.04711829626513092,	0.4711829626513092,	0.0,	0.003681116895713353,	0.5219823758121536,	0.04711829626513092,	0.4711829626513092,	0.025767818269993473,	0.029448935165706826,	0.5735180123521405,	
a_16_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.0073439545167362525,	0.27739799584677616,	0.0,	0.014740167651885048,	0.2994821180153975,	0.17332657590796893,	0.27739799584677616,	0.16194575873527609,	0.17550386418660835,	0.7881741946766295,	
