Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	24502.0,	6.125500000000001e-05,	16325.197943025058,	
Conv2,	GEMM,	672784.0,	0.0016819600000000001,	594.5444600347214,	
FC3,	GEMM,	819216.0,	0.00204804,	488.2717134430968,	
FC4,	GEMM,	626.0,	1.565e-06,	638977.6357827475,	
a_4_ut_4,	All,	1517128.0,	0.00379282,	263.656065935109,	
