Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.1167195036880857,	0.09945330491765882,	0.0,	0.5967198295059529,	0.8128926381116974,	0.8950797442589294,	0.09945330491765882,	0.39781321967063527,	0.5967198295059529,	1.9890660983531765,	
FC3,	GEMM,	0.002772734462702207,	0.3549100112258825,	0.0,	3.851020087086399e-05,	0.3577212558894556,	0.002772734462702207,	0.3549100112258825,	0.002734224261831343,	0.002772734462702207,	0.36318970441311826,	
FC4,	GEMM,	0.05369787817602758,	0.5369787817602758,	0.0,	0.004195146732502155,	0.5948718066688056,	0.05369787817602758,	0.5369787817602758,	0.0,	0.004195146732502155,	0.5948718066688056,	
a_32_ut_4,	All,	0.00885940442802045,	0.3346400126972883,	0.0,	0.03692218164047994,	0.38042159876578874,	0.05057782661432481,	0.3346400126972883,	0.023101399153367178,	0.03945726562794372,	0.447776504092924,	
