Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	19266.0,	4.8165e-05,	20761.96408180214,	
Conv2,	GEMM,	680656.0,	0.0017016400000000001,	587.6683669871418,	
FC3,	GEMM,	1261584.0,	0.00315396,	317.0617255767353,	
FC4,	GEMM,	1346.0,	3.3650000000000004e-06,	297176.82020802377,	
a_4_04b_bp_001c_testnet_ddr3_w__spm,	All,	1962852.0,	0.00490713,	203.78510453156937,	
