Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	8346.0,	2.0865e-05,	47927.15073088904,	
Conv2,	GEMM,	177616.0,	0.00044404000000000004,	2252.049364922079,	
FC3,	GEMM,	911376.0,	0.00227844,	438.89678903109143,	
FC4,	GEMM,	866.0,	2.165e-06,	461893.7644341801,	
a_8_04b_bp_001c_testnet_ddr3_w__spm,	All,	1098204.0,	0.0027455100000000005,	364.2310536111687,	
