Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	13668.0,	3.417e-05,	29265.4375182909,	
Conv2,	GEMM,	34521.0,	8.63025e-05,	11587.149850815445,	
FC3,	GEMM,	619105.0,	0.0015477625,	646.0939582138733,	
FC4,	GEMM,	444.0,	1.1100000000000002e-06,	900900.9009009007,	
a_32_ut_4,	All,	667738.0,	0.001669345,	599.0373469833977,	
