Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.0413921144273546,	0.015205266524334342,	0.0,	1.1420844633833351,	1.198681844335024,	0.32121125532656297,	0.015205266524334342,	0.0,	1.1420844633833351,	1.4785009852342323,	
Conv2,	GEMM,	0.14349266334816263,	0.12226593800080128,	0.0,	0.33952147193104454,	0.6052800732800084,	2.200786884014423,	0.12226593800080128,	1.9562550080128205,	2.200786884014423,	6.480094714042467,	
FC3,	GEMM,	0.0025510226738878934,	0.32653090225765036,	0.0,	3.5430870470665185e-05,	0.3291173558020089,	0.010204090695551574,	0.32653090225765036,	0.010168659825080908,	0.010204090695551574,	0.3571077434738344,	
FC4,	GEMM,	0.051605753052286256,	0.5160575305228626,	0.0,	0.004031699457209864,	0.5716949830323587,	0.051605753052286256,	0.5160575305228626,	0.012095098371629592,	0.016126797828839457,	0.5958851797756178,	
a_32_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.008391364593645681,	0.31696107531605333,	0.0,	0.019275302662620498,	0.34462774257231954,	0.09904029599046822,	0.31696107531605333,	0.08763321869304824,	0.10312500936004512,	0.6067595993596149,	
