Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	4222.0,	1.0555e-05,	94741.82851729039,	
Conv2,	GEMM,	50704.0,	0.00012676,	7888.923950773114,	
FC3,	GEMM,	750096.0,	0.00187524,	533.2650754036816,	
FC4,	GEMM,	506.0,	1.2650000000000002e-06,	790513.8339920947,	
a_16_04b_bp_001c_testnet_ddr3_w__spm,	All,	805528.0,	0.00201382,	496.5687102124321,	
