Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.005959977948726921,	0.002189379654634379,	0.0,	0.1644467385036489,	0.1725960961070102,	0.09250129040830252,	0.002189379654634379,	0.0,	0.1644467385036489,	0.2591374085665858,	
Conv2,	GEMM,	0.005988956317059273,	0.005103016033470623,	0.0,	0.011623259664344465,	0.02271523201487436,	0.18370857720494244,	0.005103016033470623,	0.17350254513800117,	0.18370857720494244,	0.5460227155813566,	
FC3,	GEMM,	0.002095434866422592,	0.26821566290209176,	0.0,	2.910326203364711e-05,	0.270340201030548,	0.016763478931380735,	0.26821566290209176,	0.016734375669347087,	0.016763478931380735,	0.31847699643420035,	
FC4,	GEMM,	0.038086035000249596,	0.380860350002496,	0.0,	0.0029754714843945,	0.4219218564871401,	0.038086035000249596,	0.380860350002496,	0.0208283003907615,	0.023803771875156,	0.4635784572686631,	
a_4_ut_4,	All,	0.0038993156766980236,	0.14728609108688384,	0.0,	0.00782723779397132,	0.15901264455755318,	0.09202876094699615,	0.14728609108688384,	0.08598604939234492,	0.09318480491462174,	0.41848570634084664,	
