Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.017497169865768873,	0.0064275317874253005,	0.0,	0.4827790542555004,	0.5067037559086945,	0.5431264360374379,	0.0064275317874253005,	0.4827790542555004,	0.9655581085110008,	1.9978911305913645,	
Conv2,	GEMM,	0.02268530980776735,	0.01932949474744674,	0.0,	0.03919172513571937,	0.08120652969093345,	1.391723621816165,	0.01932949474744674,	1.3530646323212716,	1.391723621816165,	4.155841370701049,	
FC3,	GEMM,	0.001883540678634559,	0.24109320686522356,	0.0,	2.6160287203257765e-05,	0.24300290783106138,	0.030136650858152945,	0.24109320686522356,	0.030110490570949687,	0.030136650858152945,	0.3314769991524791,	
FC4,	GEMM,	0.02753101375306726,	0.2753101375306726,	0.0,	0.00215086044945838,	0.3049920117331983,	0.05506202750613452,	0.2753101375306726,	0.0322629067418757,	0.03441376719133408,	0.39704883897001697,	
a_8_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.0053867596493525054,	0.20347025944037891,	0.0,	0.010030974155604718,	0.21888799324533614,	0.2542686241135424,	0.20347025944037891,	0.24751787450511897,	0.25746268764366226,	0.9627194457027026,	
