Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.07587086423289596,	0.06464736360672792,	0.0,	0.6464736360672793,	0.7869918639069031,	0.5818262724605513,	0.06464736360672792,	0.5171789088538233,	0.6464736360672793,	1.810126180988382,	
FC3,	GEMM,	0.002684289339130404,	0.34358903540869173,	0.0,	3.728179637681117e-05,	0.34631060654419893,	0.005368578678260808,	0.34358903540869173,	0.005331296881883997,	0.005368578678260808,	0.3596574896470973,	
FC4,	GEMM,	0.0507273572556516,	0.507273572556516,	0.0,	0.003963074785597781,	0.5619640045977653,	0.0507273572556516,	0.507273572556516,	0.003963074785597781,	0.007926149571195562,	0.5698901541689608,	
a_16_ut_4,	All,	0.008370384668329943,	0.3161686154468728,	0.0,	0.054315257440054096,	0.37885425755525687,	0.05021492857765242,	0.3161686154468728,	0.04368887488882414,	0.059141933284380124,	0.46921435219772945,	
