Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1,	GEMM,	13668.0,	3.417e-05,	29265.4375182909,	
Conv2,	GEMM,	174352.0,	0.00043588,	2294.209415435441,	
FC3,	GEMM,	690192.0,	0.00172548,	579.5488791524677,	
FC4,	GEMM,	522.0,	1.305e-06,	766283.5249042145,	
a_8_ut_4,	All,	878734.0,	0.002196835,	455.2003222818282,	
