Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.010684180545778976,	0.003924801016816766,	0.0,	0.294796165263126,	0.30940514682572173,	0.0829114214802542,	0.003924801016816766,	0.0,	0.294796165263126,	0.381632387760197,	
Conv2,	GEMM,	0.02310999579480824,	0.01969135736362359,	0.0,	0.05469607824993493,	0.09749743140836675,	0.3544444325452246,	0.01969135736362359,	0.3150617178179774,	0.3544444325452246,	1.0436419402720503,	
FC3,	GEMM,	0.0024871539651738213,	0.3183557075422491,	0.0,	3.454380507185863e-05,	0.32087740531249476,	0.009948615860695285,	0.3183557075422491,	0.009914072055623427,	0.009948615860695285,	0.34816701131926314,	
FC4,	GEMM,	0.0456740572991499,	0.45674057299149906,	0.0,	0.0035682857264960864,	0.505982916017145,	0.0456740572991499,	0.45674057299149906,	0.01070485717948826,	0.014273142905984346,	0.5273926303761215,	
a_8_ut_4,	All,	0.0067321407774793285,	0.25428838852082875,	0.0,	0.015466966254757922,	0.276487495553066,	0.07945706658437283,	0.25428838852082875,	0.07030550972269485,	0.0827341099225287,	0.48678507475042515,	
