Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1,	GEMM,	0.007579745650353319,	0.0027843963613542804,	0.0,	0.20913910447505485,	0.21950324648676245,	0.4705629850688734,	0.0027843963613542804,	0.4182782089501097,	0.6274173134251645,	1.5190429038055018,	
Conv2,	GEMM,	0.005919692159940419,	0.005043998053440357,	0.0,	0.010227559855104162,	0.021191250068484938,	0.7263357196954114,	0.005043998053440357,	0.7162477235885307,	0.7263357196954114,	2.173963161032794,	
FC3,	GEMM,	0.0013606813097909057,	0.17416720765323593,	0.0,	1.889835152487369e-05,	0.17554678731455173,	0.04354180191330898,	0.17416720765323593,	0.04352290356178411,	0.04354180191330898,	0.30477371504163797,	
FC4,	GEMM,	0.017713118803979383,	0.1771311880397938,	0.0,	0.001383837406560889,	0.19622814425033408,	0.05313935641193814,	0.1771311880397938,	0.04289895960338756,	0.04428279700994845,	0.317452301065068,	
a_4_04b_bp_001c_testnet_ddr3_w__spm,	All,	0.0030138599313435347,	0.11384039795076853,	0.0,	0.00561246006862034,	0.12246671795073241,	0.2845114141535212,	0.11384039795076853,	0.28048085096951975,	0.28604491467274384,	0.9648775777465534,	
